"device_id","temperature","temperature_fahrenheit","humidity","roll","pitch","voltage","timestamp","__dt","__year","__month","__day","__hour"
"70b3d5499bac188b","25","78","35","0.382959","0.2816817","4.792079","2022-10-22 17:36:07","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","34","0.2828001","0.5019554","4.792079","2022-10-22 17:36:17","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","34","0.2474506","0.4948874","4.787061","2022-10-22 17:36:28","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","27","81","29","1.377037","-2.758737","4.782043","2022-10-22 16:40:7","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","27","81","29","1.450396","-2.827096","4.787061","2022-10-22 16:41:0","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","25","78","31","-0.2360782","-3.422589","4.792079","2022-10-22 17:8:32","2022-10-22 00:00:00.000",,,,
"70b3d5499bac188b","29","84","63","27.94716","69.11398","4.792079","2022-10-22 15:49:14","2022-10-22 00:00:00.000","2022","10","22","15"
"70b3d5499bac188b","29","84","59","-71.71309","32.13203","4.792079","2022-10-22 15:49:20","2022-10-22 00:00:00.000","2022","10","22","15"
"70b3d5499bac188b","25","78","57","2.031516","2.129665","4.787061","2022-10-22 17:35:04","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","48","1.837547","2.013741","4.782043","2022-10-22 17:35:14","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","25","78","42","1.929645","1.879743","4.797097","2022-10-22 17:35:25","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","31","88","97","-34.38947","72.9573","4.792079","2022-10-22 17:42:02","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","31","89","100","-39.15075","73.2468","4.797097","2022-10-22 17:42:13","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","32","90","96","-37.67771","73.52196","4.787061","2022-10-22 17:42:23","2022-10-22 00:00:00.000","2022","10","22","17"
"70b3d5499bac188b","29","84","31","3.453377","-3.543151","4.802115","2022-10-22 15:56:15","2022-10-22 00:00:00.000","2022","10","22","15"
"70b3d5499bac188b","29","84","31","3.328064","-3.193035","4.787061","2022-10-22 15:56:21","2022-10-22 00:00:00.000","2022","10","22","15"
